sample,tempo para fechamento,tempo merge,closed_count,merged_count,not_merged_count,framework
aws-samples/algorithmic-trading,0.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-api-gateway-url-shortener,56.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-chime-react-native-demo,50.0,,5.0,0.0,5.0,AWS
aws-samples/amazon-chime-sdk,18.5,,2.0,0.0,2.0,AWS
aws-samples/amazon-chime-sdk-classroom-demo,75.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-chime-sdk-recording-demo,48.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-chime-sdk-smart-video-sending-demo,234.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-chime-voiceconnector-transcription,0.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-cloudfront-access-logs-queries,0.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-cloudfront-signed-urls-using-lambda-secretsmanager,22.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-codeguru-reviewer-sample-app,0.0,,2.0,0.0,2.0,AWS
aws-samples/amazon-cognito-facial-recognition-auth,488.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-connect-power-dialer,0.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-dax-lambda-nodejs-sample,78.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-ecs-fargate-aspnetcore,467.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-ecs-fargate-cdk-cicd,6.0,,4.0,0.0,4.0,AWS
aws-samples/amazon-ecs-firelens-examples,0.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-ecs-stopped-tasks-cwlogs,56.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-eks-cdk-blue-green-cicd,23.0,,2.0,0.0,2.0,AWS
aws-samples/amazon-eks-custom-amis,10.5,,4.0,0.0,4.0,AWS
aws-samples/amazon-elasticache-samples,152.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-elasticsearch-lambda-samples,605.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-forecast-samples,60.0,,6.0,0.0,6.0,AWS
aws-samples/amazon-fsx-workshop,197.5,,2.0,0.0,2.0,AWS
aws-samples/amazon-gamelift-unity,47.5,,2.0,0.0,2.0,AWS
aws-samples/amazon-guardduty-multiaccount-scripts,1.0,,2.0,0.0,2.0,AWS
aws-samples/amazon-guardduty-to-slack,354.5,,4.0,0.0,4.0,AWS
aws-samples/amazon-k8s-node-drainer,227.0,,2.0,0.0,2.0,AWS
aws-samples/amazon-kinesis-video-streams-demos,4.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-lex-customerservice-workshop,225.0,,3.0,0.0,3.0,AWS
aws-samples/amazon-location-samples,195.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-lookout-for-metrics-samples,39.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-neptune-samples,395.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-qldb-dmv-sample-java,0.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-qldb-dmv-sample-python,0.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-redshift-udfs,835.1666666666666,,6.0,0.0,6.0,AWS
aws-samples/amazon-s3-security-settings-and-controls,20.5,,2.0,0.0,2.0,AWS
aws-samples/amazon-sagemaker-build-train-deploy,210.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-sagemaker-immersion-day,12.5,,2.0,0.0,2.0,AWS
aws-samples/amazon-sagemaker-script-mode,317.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-sumerian-arcore-starter-app,223.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-textract-code-samples,558.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-textract-comprehend-OCRimage-search-and-analyze,482.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-textract-response-parser,199.0,,2.0,0.0,2.0,AWS
aws-samples/amazon-textract-serverless-large-scale-document-processing,0.0,,1.0,0.0,1.0,AWS
