sample,tempo para fechamento,tempo merge,closed_count,merged_count,not_merged_count,framework
aws-samples/algorithmic-trading,0.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-api-gateway-url-shortener,56.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-chime-react-native-demo,50.0,,5.0,0.0,5.0,AWS
aws-samples/amazon-chime-sdk,18.5,,2.0,0.0,2.0,AWS
aws-samples/amazon-chime-sdk-classroom-demo,75.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-chime-sdk-recording-demo,48.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-chime-sdk-smart-video-sending-demo,234.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-chime-voiceconnector-transcription,0.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-cloudfront-access-logs-queries,0.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-cloudfront-signed-urls-using-lambda-secretsmanager,22.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-codeguru-reviewer-sample-app,0.0,,2.0,0.0,2.0,AWS
aws-samples/amazon-cognito-facial-recognition-auth,488.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-connect-power-dialer,0.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-dax-lambda-nodejs-sample,78.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-ecs-fargate-cdk-cicd,6.0,,4.0,0.0,4.0,AWS
aws-samples/amazon-ecs-firelens-examples,0.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-ecs-stopped-tasks-cwlogs,56.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-eks-cdk-blue-green-cicd,23.0,,2.0,0.0,2.0,AWS
aws-samples/amazon-eks-custom-amis,10.5,,4.0,0.0,4.0,AWS
aws-samples/amazon-elasticache-samples,152.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-forecast-samples,38.5,,2.0,0.0,2.0,AWS
aws-samples/amazon-fsx-workshop,197.5,,2.0,0.0,2.0,AWS
aws-samples/amazon-guardduty-to-slack,268.0,,2.0,0.0,2.0,AWS
aws-samples/amazon-kinesis-video-streams-demos,4.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-lex-customerservice-workshop,119.0,,2.0,0.0,2.0,AWS
aws-samples/amazon-location-samples,195.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-lookout-for-metrics-samples,39.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-qldb-dmv-sample-java,0.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-qldb-dmv-sample-python,0.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-redshift-udfs,0.0,,2.0,0.0,2.0,AWS
aws-samples/amazon-sagemaker-build-train-deploy,210.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-sagemaker-immersion-day,12.5,,2.0,0.0,2.0,AWS
aws-samples/amazon-textract-comprehend-OCRimage-search-and-analyze,482.0,,1.0,0.0,1.0,AWS
aws-samples/amazon-textract-response-parser,199.0,,2.0,0.0,2.0,AWS
aws-samples/amazon-textract-textractor,246.5,,2.0,0.0,2.0,AWS
aws-samples/amazon-transcribe-news-media-analysis,31.0,,1.0,0.0,1.0,AWS
aws-samples/arduino-aws-greengrass-iot,0.0,,1.0,0.0,1.0,AWS
aws-samples/asynchronous-messaging-workshop,91.66666666666667,,3.0,0.0,3.0,AWS
aws-samples/automating-livestream-video-monitoring,19.5,,2.0,0.0,2.0,AWS
aws-samples/aws-account-vending-machine,3.0,,1.0,0.0,1.0,AWS
aws-samples/aws-amplify-quick-notes,278.0,,2.0,0.0,2.0,AWS
aws-samples/aws-appsync-iot-core-realtime-dashboard,88.0,,1.0,0.0,1.0,AWS
aws-samples/aws-appsync-iot-core-realtime-example,88.0,,1.0,0.0,1.0,AWS
aws-samples/aws-batch-comp-infrastructure-sample,27.0,,3.0,0.0,3.0,AWS
aws-samples/aws-batch-runtime-monitoring,35.0,,1.0,0.0,1.0,AWS
