sample,tempo para fechamento,tempo merge,closed_count,open_count,merged_count,not_merged_count,framework,relative_open_count,relative_closed_count,relative_merged,relative_not_merged
aws-samples/accelerated-data-lake,,,0.0,1.0,0.0,0.0,AWS,100.0,0.0,,
aws-samples/ai-video-super-resolution,,,0.0,1.0,0.0,0.0,AWS,100.0,0.0,,
aws-samples/alexa-brazil-hackathon-content,0.0,0.0,2.0,0.0,2.0,0.0,AWS,0.0,100.0,100.0,0.0
aws-samples/alexa-skill-authentication,,,0.0,1.0,0.0,0.0,AWS,100.0,0.0,,
aws-samples/alexa-top-sites-api-samples,,,0.0,2.0,0.0,0.0,AWS,100.0,0.0,,
aws-samples/alexa-web-information-service-api-samples,,,0.0,1.0,0.0,0.0,AWS,100.0,0.0,,
aws-samples/algorithmic-trading,0.14285714285714285,0.16666666666666666,7.0,0.0,6.0,1.0,AWS,0.0,100.0,85.71428571428571,14.285714285714285
aws-samples/amazon-a2i-sample-jupyter-notebooks,6.2,6.2,10.0,2.0,10.0,0.0,AWS,16.666666666666664,83.33333333333334,100.0,0.0
aws-samples/amazon-a2i-sample-task-uis,31.5,31.5,2.0,1.0,2.0,0.0,AWS,33.33333333333333,66.66666666666666,100.0,0.0
aws-samples/amazon-ai-building-better-bots,80.5,80.5,2.0,0.0,2.0,0.0,AWS,0.0,100.0,100.0,0.0
aws-samples/amazon-api-gateway-url-shortener,25.666666666666668,19.6,6.0,1.0,5.0,1.0,AWS,14.285714285714285,85.71428571428571,83.33333333333334,16.666666666666664
aws-samples/amazon-apigateway-ingress-controller-blog,,,0.0,3.0,0.0,0.0,AWS,100.0,0.0,,
aws-samples/amazon-appflow,,,0.0,1.0,0.0,0.0,AWS,100.0,0.0,,
aws-samples/amazon-aurora-labs-for-mysql,0.07142857142857142,0.07142857142857142,14.0,0.0,14.0,0.0,AWS,0.0,100.0,100.0,0.0
aws-samples/amazon-aurora-proxysql-example,0.0,0.0,2.0,0.0,2.0,0.0,AWS,0.0,100.0,100.0,0.0
aws-samples/amazon-automated-forecast,,,0.0,1.0,0.0,0.0,AWS,100.0,0.0,,
aws-samples/amazon-autoscaling-mac1metal-ec2-with-terraform,0.0,0.0,2.0,0.0,2.0,0.0,AWS,0.0,100.0,100.0,0.0
aws-samples/amazon-chime-live-events,63.0,63.0,2.0,0.0,2.0,0.0,AWS,0.0,100.0,100.0,0.0
aws-samples/amazon-chime-meeting-broadcast-demo,0.6666666666666666,0.6666666666666666,3.0,1.0,3.0,0.0,AWS,25.0,75.0,100.0,0.0
aws-samples/amazon-chime-private-bot-demo,,,0.0,2.0,0.0,0.0,AWS,100.0,0.0,,
aws-samples/amazon-chime-react-native-demo,42.833333333333336,7.0,6.0,0.0,1.0,5.0,AWS,0.0,100.0,16.666666666666664,83.33333333333334
