,framework,login,seguidores,numero_prs_criados,numero_merges,numero_prs_criado_mergeado,numero_prs_criado_n_mergeado,numero_prs_n_mergeado_fechado,numero_prs_fechado,numero_merges_exclude_auto_merge,numero_revisoes_exclude_auto_revisado,auto_revisado,tempo experiencia(dias)
0,AWS,jweiss,169.0,0,1,0,0,0,1,1,1,0,0
1,AWS,jeremeamia,414.0,0,1,0,0,0,1,1,1,0,0
2,AWS,NoSQLKnowHow,13.0,0,49,0,0,2,51,49,51,0,766
3,AWS,amcp,57.0,0,6,0,0,0,6,6,6,0,12
4,AWS,abhiksingh,11.0,0,8,0,0,1,9,8,9,0,1166
5,AWS,erichays,,0,0,0,0,0,0,0,0,0,1166
6,AWS,petermoon,69.0,0,1,0,0,0,1,1,1,0,0
7,AWS,zhangzhx,8.0,0,2,0,0,0,2,2,2,0,579
8,AWS,hvivani,9.0,0,1,0,0,0,1,1,1,0,0
9,AWS,mombergm,4.0,0,6,0,0,2,8,6,8,0,436
10,AWS,stmcpherson,10.0,0,21,0,0,2,23,21,23,0,446
11,AWS,christopherbozeman,21.0,0,12,0,0,2,14,12,14,0,129
12,AWS,adamthom,210.0,0,1,0,0,0,1,1,1,0,0
13,AWS,cliuamzn,,0,0,0,0,0,0,0,0,0,0
14,AWS,garrettjaeger,,0,0,0,0,0,0,0,0,0,0
15,AWS,Sekhar-Kutikuppala,,0,0,0,0,0,0,0,0,0,0
16,AWS,brettf,16.0,0,9,0,0,0,9,9,9,0,1305
17,AWS,mig281,2.0,0,3,0,0,0,3,3,3,0,1
18,AWS,EronHennessey,72.0,0,1,0,0,1,2,1,2,0,414
19,AWS,pmohan6,1.0,0,2,0,0,0,2,2,2,0,329
20,AWS,jonathanq,3.0,0,4,0,0,0,4,4,4,0,652
21,AWS,philstrong,54.0,0,2,0,0,0,2,2,2,0,112
22,AWS,Helen1987,,0,0,0,0,0,0,0,0,0,112
23,AWS,yubangxi,2.0,0,4,0,0,0,4,4,4,0,454
24,AWS,feverLu,1.0,0,6,0,0,0,6,6,6,0,743
25,AWS,asaf-erlich,3.0,0,2,0,0,1,3,2,3,0,245
26,AWS,ambareesha,0.0,0,1,0,0,0,1,1,1,0,0
27,AWS,Jmcfar,1.0,0,9,0,0,0,9,9,9,0,579
28,AWS,suryanarayanan,7.0,0,5,0,0,1,6,5,6,0,279
29,AWS,jpignata,160.0,0,5,0,0,0,5,5,5,0,1107
30,AWS,kvasukib,68.0,0,1,0,0,0,1,1,1,0,0
31,AWS,rohandubal,24.0,0,3,0,0,0,3,3,3,0,119
32,AWS,karthiksaligrama,110.0,0,3,0,0,0,3,3,3,0,343
33,AWS,dstroppa,9.0,0,8,0,0,0,8,8,8,0,592
