,framework,login,seguidores,numero_prs_criados,numero_merges,numero_prs_criado_mergeado,numero_prs_criado_n_mergeado,numero_prs_n_mergeado_fechado,numero_prs_fechado,numero_merges_exclude_auto_merge,numero_revisoes_exclude_auto_revisado,auto_revisado,tempo experiencia(dias)
0,AWS,NoSQLKnowHow,13.0,0,47,0,0,1,48,47,48,0,629
1,AWS,erichays,,0,0,0,0,0,0,0,0,0,629
2,AWS,cliuamzn,,0,0,0,0,0,0,0,0,0,629
3,AWS,garrettjaeger,,0,0,0,0,0,0,0,0,0,629
4,AWS,Sekhar-Kutikuppala,,0,0,0,0,0,0,0,0,0,629
5,AWS,philstrong,54.0,0,2,0,0,0,2,2,2,0,112
6,AWS,Helen1987,,0,0,0,0,0,0,0,0,0,112
7,AWS,yubangxi,,0,0,0,0,0,0,0,0,0,112
8,AWS,jpignata,160.0,0,1,0,0,0,1,1,1,0,0
9,AWS,dstroppa,9.0,0,8,0,0,0,8,8,8,0,592
10,AWS,nathanpeck,820.0,0,1,0,0,0,1,1,1,0,0
11,AWS,keerthy411,,0,0,0,0,0,0,0,0,0,0
12,AWS,mwunderl,,0,0,0,0,0,0,0,0,0,0
13,AWS,nikhil-dabhade,15.0,0,1,0,0,0,1,1,1,0,0
14,AWS,rjvgupta,7.0,0,2,0,0,2,4,2,4,0,0
15,AWS,georgmao,22.0,0,4,0,0,0,4,4,4,0,20
16,AWS,dgomesbr,83.0,0,7,0,0,3,10,7,10,0,480
17,AWS,mikeapted,13.0,0,6,0,0,2,8,6,8,0,581
18,AWS,baldwinmatt,81.0,0,6,0,0,0,6,6,6,0,152
19,AWS,julienlepine,6.0,0,1,0,0,0,1,1,1,0,0
20,AWS,teknogeek0,128.0,0,3,0,0,3,6,3,6,0,512
21,AWS,bls20AWS,36.0,0,37,0,0,0,37,37,37,0,506
22,AWS,rts-rob,43.0,0,3,0,0,2,5,3,5,0,200
23,AWS,samdengler,42.0,0,5,0,0,0,5,5,5,0,582
24,AWS,angelarw,47.0,0,6,0,0,3,9,6,9,0,282
25,AWS,willarmiros,,0,0,0,0,0,0,0,0,0,282
26,AWS,lupengamzn,,0,0,0,0,0,0,0,0,0,282
27,AWS,rabowskyb,9.0,0,8,0,0,0,8,8,8,0,670
28,AWS,isbkch,46.0,0,1,0,0,0,1,1,1,0,0
29,AWS,jkahn117,,0,0,0,0,0,0,0,0,0,0
30,AWS,trenton,4.0,0,2,0,0,0,2,2,2,0,240
31,AWS,nhira,3.0,0,2,0,0,0,2,2,2,0,0
32,AWS,smoell,18.0,0,14,0,0,1,15,14,15,0,596
33,AWS,sthm,7.0,0,22,0,0,1,23,22,23,0,698
34,AWS,lmbo-2020,0.0,0,1,0,0,0,1,1,1,0,0
35,AWS,moomindani,31.0,0,10,0,0,0,10,10,10,0,608
36,AWS,awsed,141.0,0,5,0,0,0,5,5,5,0,529
37,AWS,atoa,6.0,0,7,0,0,1,8,7,8,0,44
38,AWS,bobpskier,6.0,0,2,0,0,3,5,2,5,0,569
39,AWS,tomjames19,2.0,0,1,0,0,0,1,1,1,0,0
40,AWS,brettf,,0,0,0,0,0,0,0,0,0,0
41,AWS,darrylsosborne,11.0,0,1,0,0,2,3,1,3,0,361
42,AWS,jinspark-lab,,0,0,0,0,0,0,0,0,0,361
43,AWS,bskim,,0,0,0,0,0,0,0,0,0,361
44,AWS,koiker,13.0,0,3,0,0,0,3,3,3,0,464
45,AWS,thebeebs,,0,0,0,0,0,0,0,0,0,464
