sample,tempo para fechamento,tempo merge,closed_count,merged_count,not_merged_count,framework
Azure-Samples/Azure-Information-Protection-Samples,192.0,,1.0,0.0,1.0,Azure
Azure-Samples/Azure-Stack-Hub-Foundation-Core,233.0,,2.0,0.0,2.0,Azure
Azure-Samples/AzureMapsCodeSamples,3.0,,6.0,0.0,6.0,Azure
Azure-Samples/AzureStack-AdminPowerShell-OMSIntegration,36.0,,1.0,0.0,1.0,Azure
Azure-Samples/AzureSubscriptionBuilder,0.0,,1.0,0.0,1.0,Azure
Azure-Samples/Cognitive-Services-Voice-Assistant,56.0,,1.0,0.0,1.0,Azure
Azure-Samples/Cognitive-Speech-STT-Android,278.0,,1.0,0.0,1.0,Azure
Azure-Samples/Cognitive-Speech-STT-Windows,416.0,,1.0,0.0,1.0,Azure
Azure-Samples/Cognitive-Speech-TTS,308.2857142857143,,7.0,0.0,7.0,Azure
Azure-Samples/Custom-vision-service-iot-edge-raspberry-pi,4.666666666666667,,3.0,0.0,3.0,Azure
Azure-Samples/Hybrid-JavaScript-Samples,10.0,,1.0,0.0,1.0,Azure
Azure-Samples/LiveMaps,24.0,,1.0,0.0,1.0,Azure
Azure-Samples/Machine-Learning-Operationalization,25.0,,1.0,0.0,1.0,Azure
Azure-Samples/MachineLearningSamples-AerialImageClassification,7.0,,1.0,0.0,1.0,Azure
Azure-Samples/MachineLearningSamples-BigData,18.0,,2.0,0.0,2.0,Azure
Azure-Samples/MachineLearningSamples-DeepLearningforPredictiveMaintenance,0.0,,1.0,0.0,1.0,Azure
Azure-Samples/MachineLearningSamples-TDSPUCIAdultIncome,7.0,,1.0,0.0,1.0,Azure
Azure-Samples/Project_Confidential_Apps_for_IoT_with_Enclaves,10.0,,1.0,0.0,1.0,Azure
Azure-Samples/Serverless-microservices-reference-architecture,13.0,,1.0,0.0,1.0,Azure
Azure-Samples/SpeechToText-WebSockets-Javascript,2.6666666666666665,,3.0,0.0,3.0,Azure
Azure-Samples/active-directory-android,446.0,,1.0,0.0,1.0,Azure
Azure-Samples/active-directory-angularjs-singlepageapp,421.8333333333333,,6.0,0.0,6.0,Azure
Azure-Samples/active-directory-angularjs-singlepageapp-dotnet-webapi,1460.0,,1.0,0.0,1.0,Azure
Azure-Samples/active-directory-aspnetcore-webapp-openidconnect-v2,34.111111111111114,,9.0,0.0,9.0,Azure
Azure-Samples/active-directory-b2c-advanced-policies,23.0,,1.0,0.0,1.0,Azure
Azure-Samples/active-directory-b2c-custom-policy-starterpack,590.8333333333334,,6.0,0.0,6.0,Azure
Azure-Samples/active-directory-b2c-dotnet-uwp,15.0,,1.0,0.0,1.0,Azure
Azure-Samples/active-directory-b2c-dotnet-webapp-and-webapi,230.0,,1.0,0.0,1.0,Azure
Azure-Samples/active-directory-b2c-dotnetcore-webapi,444.0,,1.0,0.0,1.0,Azure
Azure-Samples/active-directory-b2c-dotnetcore-webapp,234.75,,4.0,0.0,4.0,Azure
