sample,tempo para fechamento,tempo merge,closed_count,merged_count,not_merged_count,framework
Azure-Samples/Azure-Stack-Hub-Foundation-Core,233.0,,2.0,0.0,2.0,Azure
Azure-Samples/AzureMapsCodeSamples,3.0,,5.0,0.0,5.0,Azure
Azure-Samples/AzureSubscriptionBuilder,0.0,,1.0,0.0,1.0,Azure
Azure-Samples/Cognitive-Services-Voice-Assistant,56.0,,1.0,0.0,1.0,Azure
Azure-Samples/Cognitive-Speech-TTS,15.0,,1.0,0.0,1.0,Azure
Azure-Samples/Custom-vision-service-iot-edge-raspberry-pi,7.0,,2.0,0.0,2.0,Azure
Azure-Samples/Hybrid-JavaScript-Samples,10.0,,1.0,0.0,1.0,Azure
Azure-Samples/LiveMaps,24.0,,1.0,0.0,1.0,Azure
Azure-Samples/Project_Confidential_Apps_for_IoT_with_Enclaves,10.0,,1.0,0.0,1.0,Azure
Azure-Samples/Serverless-microservices-reference-architecture,13.0,,1.0,0.0,1.0,Azure
Azure-Samples/active-directory-aspnetcore-webapp-openidconnect-v2,2.0,,2.0,0.0,2.0,Azure
Azure-Samples/active-directory-b2c-custom-policy-starterpack,316.0,,3.0,0.0,3.0,Azure
Azure-Samples/active-directory-b2c-javascript-angular-spa,68.0,,1.0,0.0,1.0,Azure
Azure-Samples/active-directory-b2c-php-webapp-openidconnect,255.0,,1.0,0.0,1.0,Azure
Azure-Samples/active-directory-dotnet-windows-store,0.0,,1.0,0.0,1.0,Azure
Azure-Samples/active-directory-javascript-graphapi-v2,15.0,,1.0,0.0,1.0,Azure
Azure-Samples/active-directory-node-webapi,0.0,,1.0,0.0,1.0,Azure
Azure-Samples/azure-cosmos-db-graph-gremlindotnet-getting-started,82.0,,1.0,0.0,1.0,Azure
Azure-Samples/azure-cosmos-db-python-getting-started,204.0,,2.0,0.0,2.0,Azure
Azure-Samples/azure-cosmos-java-getting-started,268.0,,2.0,0.0,2.0,Azure
Azure-Samples/azure-event-grid-viewer,7.0,,1.0,0.0,1.0,Azure
Azure-Samples/azure-farmbeats-samples,4.0,,1.0,0.0,1.0,Azure
Azure-Samples/azure-functions-samples-java,31.0,,1.0,0.0,1.0,Azure
Azure-Samples/azure-intelligent-edge-patterns,46.333333333333336,,6.0,0.0,6.0,Azure
Azure-Samples/azure-iot-samples-csharp,285.5,,4.0,0.0,4.0,Azure
Azure-Samples/azure-maps-html-marker-layer,48.0,,1.0,0.0,1.0,Azure
Azure-Samples/azure-maps-selection-control,0.0,,1.0,0.0,1.0,Azure
Azure-Samples/azure-mfa-authentication-method-analysis,57.0,,1.0,0.0,1.0,Azure
Azure-Samples/azure-python-labs,90.0,,12.0,0.0,12.0,Azure
Azure-Samples/azure-samples-python-management,77.5,,2.0,0.0,2.0,Azure
Azure-Samples/azure-sdk-for-go-samples,12.0,,1.0,0.0,1.0,Azure
Azure-Samples/azure-sdk-for-js-samples,9.0,,2.0,0.0,2.0,Azure
Azure-Samples/azure-search-dotnet-samples,117.0,,1.0,0.0,1.0,Azure
Azure-Samples/batch-python-quickstart,527.0,,1.0,0.0,1.0,Azure
Azure-Samples/bc-community-samples,11.0,,3.0,0.0,3.0,Azure
Azure-Samples/cognitive-services-personalizer-samples,74.33333333333333,,3.0,0.0,3.0,Azure
Azure-Samples/cognitive-services-python-sdk-samples,63.0,,1.0,0.0,1.0,Azure
Azure-Samples/cognitive-services-quickstart-code,158.2,,5.0,0.0,5.0,Azure
Azure-Samples/cognitive-services-sample-data-files,7.0,,1.0,0.0,1.0,Azure
Azure-Samples/communication-services-web-calling-hero,3.0,,1.0,0.0,1.0,Azure
Azure-Samples/communication-services-web-calling-tutorial,25.0,,3.0,0.0,3.0,Azure
Azure-Samples/communication-services-web-chat-hero,34.0,,1.0,0.0,1.0,Azure
Azure-Samples/compute-node-manage-vm,119.0,,1.0,0.0,1.0,Azure
Azure-Samples/confidential-container-samples,200.0,,1.0,0.0,1.0,Azure
Azure-Samples/cosmos-dotnet-bulk-import-throughput-optimizer,106.0,,1.0,0.0,1.0,Azure
Azure-Samples/cosmos-dotnet-change-feed-processor,8.0,,1.0,0.0,1.0,Azure
Azure-Samples/cosmos-dotnet-core-todo-app,166.0,,1.0,0.0,1.0,Azure
Azure-Samples/cosmosdb-dotnet-create-documentdb-and-configure-for-high-availability,206.0,,1.0,0.0,1.0,Azure
Azure-Samples/digital-twins-explorer,32.333333333333336,,3.0,0.0,3.0,Azure
Azure-Samples/djangoapp,114.0,,1.0,0.0,1.0,Azure
Azure-Samples/dotnetcore-sqldb-tutorial,69.0,,1.0,0.0,1.0,Azure
Azure-Samples/event-grid-node-publish-consume-events,510.0,,1.0,0.0,1.0,Azure
Azure-Samples/event-grid-python-public-consume-events,6.0,,1.0,0.0,1.0,Azure
Azure-Samples/helm-charts,20.5,,2.0,0.0,2.0,Azure
Azure-Samples/iot-edge-for-iiot,13.0,,3.0,0.0,3.0,Azure
Azure-Samples/iot-edge-opc-plc,0.0,,4.0,0.0,4.0,Azure
Azure-Samples/jmeter-aci-terraform,34.333333333333336,,3.0,0.0,3.0,Azure
Azure-Samples/js-e2e-browser-file-upload-storage-blob,295.0,,1.0,0.0,1.0,Azure
Azure-Samples/js-e2e-express-server,103.0,,1.0,0.0,1.0,Azure
Azure-Samples/modern-data-warehouse-dataops,18.6,,5.0,0.0,5.0,Azure
Azure-Samples/ms-identity-b2c-java-servlet-webapp-authentication,61.0,,1.0,0.0,1.0,Azure
Azure-Samples/ms-identity-java-webapi,4.0,,1.0,0.0,1.0,Azure
Azure-Samples/ms-identity-javascript-angular-tutorial,0.0,,1.0,0.0,1.0,Azure
Azure-Samples/ms-identity-javascript-nodejs-desktop,13.0,,1.0,0.0,1.0,Azure
Azure-Samples/ms-identity-javascript-react-tutorial,0.0,,1.0,0.0,1.0,Azure
Azure-Samples/ms-identity-python-webapp,2.0,,1.0,0.0,1.0,Azure
Azure-Samples/nodejs-docs-hello-world,0.0,,1.0,0.0,1.0,Azure
Azure-Samples/openhack-devops-proctor,225.5,,6.0,0.0,6.0,Azure
Azure-Samples/openhack-devops-team,74.76923076923077,,26.0,0.0,26.0,Azure
Azure-Samples/python-docs-hello-world,138.3,,10.0,0.0,10.0,Azure
Azure-Samples/search-dotnet-getting-started,139.0,,1.0,0.0,1.0,Azure
Azure-Samples/serverless-full-stack-apps-azure-sql,73.66666666666667,,3.0,0.0,3.0,Azure
Azure-Samples/serverless-keyvault-secret-rotation-handling,0.0,,1.0,0.0,1.0,Azure
Azure-Samples/service-bus-dotnet-manage-publish-subscribe-with-advanced-features,531.0,,1.0,0.0,1.0,Azure
Azure-Samples/service-bus-dotnet-manage-publish-subscribe-with-basic-features,530.0,,1.0,0.0,1.0,Azure
Azure-Samples/service-bus-dotnet-manage-queue-with-advanced-features,530.0,,1.0,0.0,1.0,Azure
Azure-Samples/service-bus-dotnet-manage-queue-with-basic-features,530.0,,1.0,0.0,1.0,Azure
Azure-Samples/service-bus-dotnet-manage-with-claims-based-authorization,516.0,,1.0,0.0,1.0,Azure
Azure-Samples/smartbulkcopy,1.6666666666666667,,3.0,0.0,3.0,Azure
Azure-Samples/spark-on-aks-benchmark,126.0,,1.0,0.0,1.0,Azure
Azure-Samples/web-apps-node-iot-hub-data-visualization,2.0,,1.0,0.0,1.0,Azure
