sample,tempo para fechamento,tempo merge,closed_count,open_count,merged_count,not_merged_count,framework,relative_open_count,relative_closed_count,relative_merged,relative_not_merged
Azure-Samples/AI-Video-Intelligence-Solution-Accelerator,0.0,0.0,2.0,8.0,2.0,0.0,Azure,80.0,20.0,100.0,0.0
Azure-Samples/AML-Gallery-InceptionV3,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/Active-Directory-and-Active-Directory-B2C-Community-Samples,,,0.0,3.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/ActiveDirectory-B2C-MSGraph-PolicyAndKeysets,6.0,6.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/AnomalyDetector,63.8,63.8,5.0,3.0,5.0,0.0,Azure,37.5,62.5,100.0,0.0
Azure-Samples/Azure-AD-B2C-page-templates,,,0.0,2.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/Azure-Functions-Private-Endpoints,17.0,17.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/Azure-Information-Protection-Samples,166.5,158.0,4.0,0.0,3.0,1.0,Azure,0.0,100.0,75.0,25.0
Azure-Samples/Azure-MachineLearning-ClientLibrary-Python,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/Azure-MachineLearning-DataScience,73.33333333333333,73.33333333333333,6.0,9.0,6.0,0.0,Azure,60.0,40.0,100.0,0.0
Azure-Samples/Azure-Maps-AzureAD-Samples,35.333333333333336,35.333333333333336,3.0,0.0,3.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/Azure-Maps-Jupyter-Notebook,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/Azure-RTOS-on-Azure-Sphere-Mediatek-MT3620,19.666666666666668,19.666666666666668,3.0,0.0,3.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/Azure-Spring-Cloud-Samples,26.23076923076923,26.23076923076923,13.0,2.0,13.0,0.0,Azure,13.333333333333334,86.66666666666667,100.0,0.0
Azure-Samples/Azure-Stack-Hub-Foundation-Core,43.27272727272727,1.1111111111111112,11.0,0.0,9.0,2.0,Azure,0.0,100.0,81.81818181818183,18.181818181818183
Azure-Samples/Azure-Time-Series-Insights,,,0.0,2.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/AzureDevOps-onnxruntime-jetson,122.0,122.0,2.0,0.0,2.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/AzureMapsCodeSamples,4.0,4.666666666666667,15.0,2.0,9.0,6.0,Azure,11.76470588235294,88.23529411764706,60.0,40.0
Azure-Samples/AzureSqlGettingStartedSamples,273.0,273.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/AzureStack-AdminPowerShell-OMSIntegration,173.25,219.0,4.0,1.0,3.0,1.0,Azure,20.0,80.0,75.0,25.0
Azure-Samples/AzureStorageSnippets,2.0,2.0,3.0,3.0,3.0,0.0,Azure,50.0,50.0,100.0,0.0
Azure-Samples/AzureSubscriptionBuilder,0.0,,1.0,1.0,0.0,1.0,Azure,50.0,50.0,0.0,100.0
Azure-Samples/Cognitive-Face-CSharp-sample,0.0,0.0,1.0,2.0,1.0,0.0,Azure,66.66666666666666,33.33333333333333,100.0,0.0
Azure-Samples/Cognitive-Services-LUIS-Console-Application,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
