sample,tempo para fechamento,tempo merge,closed_count,open_count,merged_count,not_merged_count,framework,relative_open_count,relative_closed_count,relative_merged,relative_not_merged
Azure-Samples/AI-Video-Intelligence-Solution-Accelerator,,,0.0,8.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/Active-Directory-and-Active-Directory-B2C-Community-Samples,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/AnomalyDetector,106.33333333333333,106.33333333333333,3.0,3.0,3.0,0.0,Azure,50.0,50.0,100.0,0.0
Azure-Samples/Azure-AD-B2C-page-templates,,,0.0,2.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/Azure-Functions-Docker-and-Terraform,0.0,0.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/Azure-Functions-Private-Endpoints,17.0,17.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/Azure-Maps-AzureAD-Samples,6.5,6.5,2.0,0.0,2.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/Azure-Maps-Jupyter-Notebook,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/Azure-RTOS-on-Azure-Sphere-Mediatek-MT3620,19.666666666666668,19.666666666666668,3.0,0.0,3.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/Azure-Spring-Cloud-Samples,36.333333333333336,36.333333333333336,9.0,2.0,9.0,0.0,Azure,18.181818181818183,81.81818181818183,100.0,0.0
Azure-Samples/Azure-Stack-Hub-Foundation-Core,43.27272727272727,1.1111111111111112,11.0,0.0,9.0,2.0,Azure,0.0,100.0,81.81818181818183,18.181818181818183
Azure-Samples/Azure-Time-Series-Insights,,,0.0,2.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/AzureDevOps-onnxruntime-jetson,122.0,122.0,2.0,0.0,2.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/AzureMapsCodeSamples,2.875,2.6666666666666665,8.0,2.0,3.0,5.0,Azure,20.0,80.0,37.5,62.5
Azure-Samples/AzureSqlGettingStartedSamples,273.0,273.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/AzureStorageSnippets,2.0,2.0,3.0,3.0,3.0,0.0,Azure,50.0,50.0,100.0,0.0
Azure-Samples/AzureSubscriptionBuilder,0.0,,1.0,1.0,0.0,1.0,Azure,50.0,50.0,0.0,100.0
Azure-Samples/Cognitive-Face-CSharp-sample,0.0,0.0,1.0,2.0,1.0,0.0,Azure,66.66666666666666,33.33333333333333,100.0,0.0
Azure-Samples/Cognitive-Services-Speech-Devices-SDK,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/Cognitive-Services-Vision-Solution-Templates,4.75,4.75,4.0,23.0,4.0,0.0,Azure,85.18518518518519,14.814814814814813,100.0,0.0
Azure-Samples/Cognitive-Services-Voice-Assistant,11.8,0.75,5.0,1.0,4.0,1.0,Azure,16.666666666666664,83.33333333333334,80.0,20.0
Azure-Samples/Cognitive-Speech-TTS,5.095238095238095,4.6,21.0,0.0,20.0,1.0,Azure,0.0,100.0,95.23809523809523,4.761904761904762
Azure-Samples/CosmicClone,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/Cost-Management-Samples,,,0.0,5.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/Custom-vision-service-iot-edge-raspberry-pi,4.666666666666667,0.0,3.0,0.0,1.0,2.0,Azure,0.0,100.0,33.33333333333333,66.66666666666666
Azure-Samples/DoubleKeyEncryptionService,2.0,2.0,1.0,2.0,1.0,0.0,Azure,66.66666666666666,33.33333333333333,100.0,0.0
Azure-Samples/DynamicsConnector,52.0,52.0,1.0,5.0,1.0,0.0,Azure,83.33333333333334,16.666666666666664,100.0,0.0
Azure-Samples/ESP-Samples,3.6666666666666665,3.6666666666666665,3.0,0.0,3.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/HWC-Cluster-Creator-Tool,178.0,178.0,2.0,1.0,2.0,0.0,Azure,33.33333333333333,66.66666666666666,100.0,0.0
Azure-Samples/Hybrid-Compute-Java-Create-VM-From-Custom-Image,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/Hybrid-Compute-Java-Manage-VM-Certificate-Based-Auth,,,0.0,2.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/Hybrid-JavaScript-Samples,4.4,3.0,5.0,0.0,4.0,1.0,Azure,0.0,100.0,80.0,20.0
Azure-Samples/Hybrid-KeyVault-Java-Manage-Secrets-Certificate-Based-Auth,27.0,27.0,1.0,2.0,1.0,0.0,Azure,66.66666666666666,33.33333333333333,100.0,0.0
Azure-Samples/Hybrid-resources-java-manage-resource-group,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/IoTDemos,0.0,0.0,1.0,47.0,1.0,0.0,Azure,97.91666666666666,2.083333333333333,100.0,0.0
Azure-Samples/IoTEdgeAndMlSample,0.0,0.0,2.0,1.0,2.0,0.0,Azure,33.33333333333333,66.66666666666666,100.0,0.0
Azure-Samples/Iot-Telemetry-Simulator,9.8,9.8,5.0,0.0,5.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/Java-application-petstore-ee7,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/KeyVault-Rotation-SQLPassword-Csharp,,,0.0,2.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/LUIS-DevOps-Template,1.5555555555555556,1.5555555555555556,9.0,0.0,9.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/LiveMaps,38.375,40.42857142857143,8.0,8.0,7.0,1.0,Azure,50.0,50.0,87.5,12.5
Azure-Samples/MLOpsDatabricks,7.0,7.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/MachineLearningSamples-NoCodeDeploymentTriggeredByEventGrid,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/Microchip-PIC-IoT-Wx,83.0,83.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/Microchip-SAM-IoT-Wx,20.333333333333332,20.333333333333332,3.0,0.0,3.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/NVIDIA-Deepstream-Azure-IoT-Edge-on-a-NVIDIA-Jetson-Nano,30.0,30.0,2.0,0.0,2.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/Project_Confidential_Apps_for_IoT_with_Enclaves,10.0,,1.0,0.0,0.0,1.0,Azure,0.0,100.0,0.0,100.0
