,framework,login,seguidores,numero_prs_criados,numero_merges,numero_prs_criado_mergeado,numero_prs_criado_n_mergeado,numero_prs_n_mergeado_fechado,numero_prs_fechado,numero_merges_exclude_auto_merge,numero_revisoes_exclude_auto_revisado,auto_revisado,tempo experiencia(dias)
0,Azure,derisen,24.0,0,107,0,0,13,120,107,120,0,599
1,Azure,jmprieur,119.0,0,218,0,0,35,252,218,252,0,1714
2,Azure,brandwe,125.0,0,9,0,0,0,9,9,9,0,508
3,Azure,oldalton,33.0,0,1,0,0,0,1,1,1,0,0
4,Azure,kaisong1990,,0,0,0,0,0,0,0,0,0,0
5,Azure,danieldobalian,16.0,0,10,0,0,2,12,10,12,0,821
6,Azure,gsacavdm,41.0,0,9,0,0,1,10,9,10,0,443
7,Azure,kreedula,4.0,0,0,0,0,1,1,0,1,0,443
8,Azure,omercs,9.0,0,2,0,0,0,2,2,2,0,211
9,Azure,calvli,,0,0,0,0,0,0,0,0,0,211
10,Azure,shawntabrizi,,0,0,0,0,0,0,0,0,0,211
11,Azure,dstrockis,89.0,0,15,0,0,7,22,15,22,0,2244
12,Azure,RideMo,1.0,0,1,0,0,0,1,1,1,0,0
13,Azure,pavankompelli,0.0,0,1,0,0,0,1,1,1,0,0
14,Azure,kalyankrishna1,25.0,0,4,0,0,5,9,4,9,0,1132
15,Azure,TiagoBrenck,11.0,0,12,0,0,25,37,12,37,0,466
16,Azure,skwan,,0,0,0,0,0,0,0,0,0,466
17,Azure,bgavrilMS,34.0,0,11,0,0,0,11,11,11,0,787
18,Azure,aremo-ms,,0,0,0,0,0,0,0,0,0,787
19,Azure,libarson,,0,0,0,0,0,0,0,0,0,787
20,Azure,tommoser,6.0,0,1,0,0,0,1,1,1,0,0
21,Azure,aashishr,0.0,0,1,0,0,0,1,1,1,0,0
22,Azure,kkanakas,9.0,0,1,0,0,1,2,1,2,0,421
23,Azure,bradsev,,0,0,0,0,0,0,0,0,0,421
24,Azure,wguo123,22.0,0,1,0,0,0,1,1,1,0,0
25,Azure,deguhath,16.0,0,2,0,0,0,2,2,2,0,195
26,Azure,inchiosa,,0,0,0,0,0,0,0,0,0,195
27,Azure,hangzh-msft,6.0,0,1,0,0,0,1,1,1,0,0
28,Azure,gopitk,10.0,0,1,0,0,0,1,1,1,0,0
29,Azure,Xue001,4.0,0,1,0,0,0,1,1,1,0,0
30,Azure,crwilcox,,0,0,0,0,0,0,0,0,0,0
31,Azure,navyasric,30.0,0,3,0,0,4,7,3,7,0,500
32,Azure,jennyf19,48.0,0,16,0,0,4,20,16,20,0,1165
33,Azure,DinoV,,0,0,0,0,0,0,0,0,0,1165
34,Azure,huguesv,,0,0,0,0,0,0,0,0,0,1165
35,Azure,tushargupta51,12.0,0,1,0,0,0,1,1,1,0,0
36,Azure,sgrebnov,166.0,0,1,0,0,0,1,1,1,0,0
37,Azure,paterasMSFT,,0,0,0,0,0,0,0,0,0,0
38,Azure,dpwatrous,7.0,0,2,0,0,1,3,2,3,0,223
39,Azure,bgklein,12.0,0,2,0,0,0,2,2,2,0,374
40,Azure,matthchr,17.0,0,13,0,0,3,16,13,16,0,1453
41,Azure,xingwu1,,0,0,0,0,0,0,0,0,0,1453
42,Azure,supernova-eng,41.0,0,14,0,0,0,14,14,14,0,36
43,Azure,alfpark,18.0,0,3,0,0,2,5,3,5,0,1166
44,Azure,tamram,80.0,0,12,0,0,0,12,12,12,0,982
45,Azure,theunrepentantgeek,,0,0,0,0,0,0,0,0,0,982
46,Azure,itowlson,,0,0,0,0,0,0,0,0,0,982
47,Azure,jasper-schneider,2.0,0,1,0,0,0,1,1,1,0,0
48,Azure,annatisch,,0,0,0,0,0,0,0,0,0,0
49,Azure,paselem,,0,0,0,0,0,0,0,0,0,0
50,Azure,cwickham3,5.0,0,2,0,0,0,2,2,2,0,11
51,Azure,darylmsft,,0,0,0,0,0,0,0,0,0,11
52,Azure,johnpapa,14753.0,0,0,0,0,3,3,0,3,0,11
53,Azure,thepeekay,,0,0,0,0,0,0,0,0,0,11
54,Azure,tdykstra,,0,0,0,0,0,0,0,0,0,11
55,Azure,bradygaster-zz,225.0,0,4,0,0,1,5,4,5,0,114
56,Azure,BryanLa,44.0,0,1,0,0,0,1,1,1,0,0
57,Azure,lindydonna,,0,0,0,0,0,0,0,0,0,0
58,Azure,ggailey777,34.0,0,2,0,0,0,2,2,2,0,0
59,Azure,kirillg,,0,0,0,0,0,0,0,0,0,0
60,Azure,jongio,243.0,0,94,0,0,17,111,94,111,0,728
61,Azure,mhopkins-msft,16.0,0,3,0,0,0,3,3,3,0,22
62,Azure,perrysk-msft,33.0,0,6,0,0,0,6,6,6,0,15
63,Azure,robinsh,27.0,0,10,0,0,0,10,10,10,0,361
64,Azure,georgewallace,14.0,0,4,0,0,2,6,4,6,0,1124
65,Azure,DavidCBerry13,82.0,0,4,0,0,0,4,4,4,0,127
66,Azure,emgerner-msft,22.0,0,1,0,0,0,1,1,1,0,0
67,Azure,dineshmurthy,4.0,0,1,0,0,0,1,1,1,0,0
68,Azure,SnehaGunda,29.0,0,3,0,0,12,15,3,15,0,973
69,Azure,anfeldma-ms,5.0,0,1,0,0,0,1,1,1,0,0
70,Azure,Mine-MSFT,,0,0,0,0,0,0,0,0,0,0
71,Azure,arramac,20.0,0,6,0,0,0,6,6,6,0,222
72,Azure,mimig1,41.0,0,6,0,0,0,6,6,6,0,256
73,Azure,aliuy,91.0,0,1,0,0,0,1,1,1,0,0
74,Azure,burkeholland,,0,0,0,0,0,0,0,0,0,0
75,Azure,AndrewHoh,,0,0,0,0,0,0,0,0,0,0
76,Azure,dereklegenzoff,9.0,0,18,0,0,0,18,18,18,0,611
77,Azure,HeidiSteen,28.0,0,63,0,0,2,65,63,65,0,846
78,Azure,brjohnstmsft,48.0,0,25,0,0,4,29,25,29,0,1282
79,Azure,liamca,112.0,0,3,0,0,0,3,3,3,0,765
80,Azure,olivierbloch,73.0,0,14,0,0,2,16,14,16,0,903
81,Azure,sraje,2.0,0,5,0,0,1,6,5,6,0,627
82,Azure,erikadoyle,60.0,0,3,0,0,0,3,3,3,0,218
83,Azure,vturecek,145.0,0,12,0,0,6,18,12,18,0,559
84,Azure,masnider,48.0,0,8,0,0,5,13,8,13,0,793
85,Azure,khenidak,159.0,0,3,0,0,0,3,3,3,0,0
86,Azure,seanmck,56.0,0,2,0,0,0,2,2,2,0,652
87,Azure,sangonzal,5.0,0,2,0,0,1,3,2,3,0,69
88,Azure,SomkaPe,,0,0,0,0,0,0,0,0,0,69
89,Azure,Juliako,41.0,0,7,0,0,0,7,7,7,0,562
90,Azure,rloutlaw,10.0,0,6,0,0,0,6,6,6,0,354
91,Azure,Blackmist,30.0,0,3,0,0,0,3,3,3,0,767
92,Azure,spelluru,,0,0,0,0,0,0,0,0,0,767
93,Azure,mikkelhegn,42.0,0,8,0,0,2,10,8,10,0,1279
94,Azure,dkkapur,40.0,0,4,0,0,0,4,4,4,0,557
95,Azure,vipul-modi,8.0,0,11,0,0,1,12,11,12,0,955
96,Azure,PatAltimore,25.0,0,1,0,0,0,1,1,1,0,0
97,Azure,spyrossak,2.0,0,4,0,0,0,4,4,4,0,0
98,Azure,jtaubensee,25.0,0,10,0,0,2,12,10,12,0,258
99,Azure,VeronicaWasson,430.0,0,1,0,0,0,1,1,1,0,0
100,Azure,bennage,,0,0,0,0,0,0,0,0,0,0
101,Azure,dominicbetts,58.0,0,1,0,0,0,1,1,1,0,0
102,Azure,alinapopa,,0,0,0,0,0,0,0,0,0,0
103,Azure,VaijanathA,2.0,0,1,0,0,0,1,1,1,0,0
104,Azure,xiangyan99,,0,0,0,0,0,0,0,0,0,0
105,Azure,nicolehaugen,,0,0,0,0,0,0,0,0,0,0
106,Azure,HaishiBai,,0,0,0,0,0,0,0,0,0,0
107,Azure,jamesmontemagno,6014.0,0,1,0,0,0,1,1,1,0,0
108,Azure,pierceboggan,,0,0,0,0,0,0,0,0,0,0
109,Azure,harikmenon,,0,0,0,0,0,0,0,0,0,0
110,Azure,Minewiskan,,0,0,0,0,0,0,0,0,0,0
111,Azure,kraigb,65.0,0,7,0,0,13,20,7,20,0,168
112,Azure,johndeu,12.0,0,24,0,0,0,24,24,24,0,998
113,Azure,dagalvao,,0,0,0,0,0,0,0,0,0,998
114,Azure,henryt-ms,,0,0,0,0,0,0,0,0,0,998
115,Azure,ningl2,0.0,0,1,0,0,0,1,1,1,0,0
116,Azure,Lichard,12.0,0,1,0,0,0,1,1,1,0,0
117,Azure,rajputam,3.0,0,1,0,0,0,1,1,1,0,0
118,Azure,lmazuel,92.0,0,36,0,0,2,38,36,38,0,1977
119,Azure,hegate,11.0,0,1,0,0,0,1,1,1,0,0
120,Azure,AttunixCorp,3.0,0,1,0,0,0,1,1,1,0,0
121,Azure,Ilias-Tsigkogiannis,3.0,0,1,0,0,0,1,1,1,0,0
122,Azure,mamokarz,13.0,0,2,0,0,0,2,2,2,0,0
123,Azure,cephalin,47.0,0,10,0,0,4,14,10,14,0,1764
124,Azure,micurd,,0,0,0,0,0,0,0,0,0,1764
125,Azure,pmaytak,4.0,0,2,0,0,0,2,2,2,0,373
126,Azure,trwalke,,0,0,0,0,0,0,0,0,0,373
127,Azure,SameerK-MSFT,,0,0,0,0,0,0,0,0,0,373
128,Azure,neha-bhargava,,0,0,0,0,0,0,0,0,0,373
129,Azure,aiwangmicrosoft,,0,0,0,0,0,0,0,0,0,373
130,Azure,codemillmatt,,0,0,0,0,0,0,0,0,0,373
131,Azure,parakhj,25.0,0,24,0,0,1,25,24,25,0,433
132,Azure,henrik-me,,0,0,0,0,0,0,0,0,0,433
133,Azure,vibronet,,0,0,0,0,0,0,0,0,0,433
134,Azure,gilitaragano,,0,0,0,0,0,0,0,0,0,433
135,Azure,ali-hamud,33.0,0,1,0,0,3,4,1,4,0,56
136,Azure,t-yoigra,,0,0,0,0,0,0,0,0,0,56
137,Azure,MahirDiab,,0,0,0,0,0,0,0,0,0,56
138,Azure,eligr,,0,0,0,0,0,0,0,0,0,56
139,Azure,noanu,,0,0,0,0,0,0,0,0,0,56
140,Azure,mattmazzola,58.0,0,2,0,0,0,2,2,2,0,81
141,Azure,wbreza,25.0,0,2,0,0,0,2,2,2,0,36
142,Azure,sarangan12,7.0,0,1,0,0,0,1,1,1,0,0
143,Azure,vishrutshah,14.0,0,1,0,0,0,1,1,1,0,0
144,Azure,devigned,,0,0,0,0,0,0,0,0,0,0
145,Azure,anudeepsharma,,0,0,0,0,0,0,0,0,0,0
146,Azure,martinsawicki,29.0,0,0,0,0,1,1,0,1,0,0
147,Azure,anuchandy,,0,0,0,0,0,0,0,0,0,0
148,Azure,selvasingh,97.0,0,27,0,0,0,27,27,27,0,953
149,Azure,ericlgf,1.0,0,1,0,0,0,1,1,1,0,0
150,Azure,allclark,3.0,0,17,0,0,0,17,17,17,0,32
151,Azure,yoelhor,42.0,0,11,0,0,6,17,11,17,0,198
152,Azure,agrabhi,,0,0,0,0,0,0,0,0,0,198
153,Azure,stevenxzhou,5.0,0,1,0,0,0,1,1,1,0,0
154,Azure,BarbaraSelden,2.0,0,1,0,0,0,1,1,1,0,0
155,Azure,rojasja,12.0,0,12,0,0,0,12,12,12,0,999
156,Azure,omer-iqbal,,0,0,0,0,0,0,0,0,0,999
157,Azure,amarzavery,35.0,0,1,0,0,0,1,1,1,0,0
158,Azure,szhaomsft,11.0,0,11,0,0,3,14,11,14,0,1758
159,Azure,yinhew,,0,0,0,0,0,0,0,0,0,1758
160,Azure,yulin-li,14.0,0,5,0,0,0,5,5,5,0,402
161,Azure,boltomli,79.0,0,37,0,0,4,41,37,41,0,1489
162,Azure,neoguo0601,0.0,0,2,0,0,0,2,2,2,0,1
163,Azure,jasonvomsft,4.0,0,2,0,0,0,2,2,2,0,134
164,Azure,delfu,16.0,0,1,0,0,0,1,1,1,0,0
165,Azure,stevchin,,0,0,0,0,0,0,0,0,0,0
166,Azure,lightfrenzy,,0,0,0,0,0,0,0,0,0,0
167,Azure,eduardkoller,22.0,0,1,0,0,0,1,1,1,0,0
168,Azure,diberry,49.0,0,10,0,0,3,13,10,13,0,912
169,Azure,berndverst,81.0,0,2,0,0,0,2,2,2,0,1
170,Azure,wolfma61,7.0,0,1,0,0,1,2,1,2,0,449
171,Azure,alvadb,,0,0,0,0,0,0,0,0,0,449
172,Azure,t-olhuan,3.0,0,1,0,0,0,1,1,1,0,0
173,Azure,haocs,,0,0,0,0,0,0,0,0,0,0
174,Azure,gladjohn,,0,0,0,0,0,0,0,0,0,0
175,Azure,mcardosos,15.0,0,4,0,0,1,5,4,5,0,235
176,Azure,rban1,,0,0,0,0,0,0,0,0,0,235
177,Azure,brianrandell,31.0,0,2,0,0,0,2,2,2,0,87
178,Azure,idg10,,0,0,0,0,0,0,0,0,0,87
179,Azure,clemensv,211.0,0,1,0,0,0,1,1,1,0,0
180,Azure,jhendrixMSFT,37.0,0,3,0,0,0,3,3,3,0,758
181,Azure,marstr,,0,0,0,0,0,0,0,0,0,758
182,Azure,rapatchi,,0,0,0,0,0,0,0,0,0,758
183,Azure,suhuruli,13.0,0,10,0,0,0,10,10,10,0,347
184,Azure,sayantancs,3.0,0,1,0,0,1,2,1,2,0,259
