,framework,login,seguidores,numero_prs_criados,numero_merges,numero_prs_criado_mergeado,numero_prs_criado_n_mergeado,numero_prs_n_mergeado_fechado,numero_prs_fechado,numero_merges_exclude_auto_merge,numero_revisoes_exclude_auto_revisado,auto_revisado,tempo experiencia(dias)
0,Azure,derisen,24.0,0,105,0,0,5,110,105,110,0,599
1,Azure,oldalton,,0,0,0,0,0,0,0,0,0,599
2,Azure,kaisong1990,,0,0,0,0,0,0,0,0,0,599
3,Azure,kalyankrishna1,25.0,0,1,0,0,1,2,1,2,0,107
4,Azure,aremo-ms,,0,0,0,0,0,0,0,0,0,107
5,Azure,TiagoBrenck,11.0,0,4,0,0,2,6,4,6,0,200
6,Azure,libarson,,0,0,0,0,0,0,0,0,0,200
7,Azure,tommoser,,0,0,0,0,0,0,0,0,0,200
8,Azure,paterasMSFT,,0,0,0,0,0,0,0,0,0,200
9,Azure,dpwatrous,7.0,0,2,0,0,1,3,2,3,0,223
10,Azure,bgklein,12.0,0,1,0,0,0,1,1,1,0,0
11,Azure,jongio,243.0,0,85,0,0,8,93,85,93,0,720
12,Azure,tamram,80.0,0,1,0,0,0,1,1,1,0,0
13,Azure,mhopkins-msft,16.0,0,3,0,0,0,3,3,3,0,22
14,Azure,DavidCBerry13,82.0,0,4,0,0,0,4,4,4,0,127
15,Azure,SnehaGunda,29.0,0,5,0,0,8,13,5,13,0,339
16,Azure,anfeldma-ms,5.0,0,1,0,0,0,1,1,1,0,0
17,Azure,dereklegenzoff,9.0,0,17,0,0,0,17,17,17,0,611
18,Azure,HeidiSteen,28.0,0,36,0,0,2,38,36,38,0,474
19,Azure,brjohnstmsft,48.0,0,3,0,0,0,3,3,3,0,62
20,Azure,erikadoyle,60.0,0,3,0,0,0,3,3,3,0,218
21,Azure,johndeu,12.0,0,19,0,0,0,19,19,19,0,525
22,Azure,lmazuel,92.0,0,6,0,0,2,8,6,8,0,630
23,Azure,pmaytak,4.0,0,2,0,0,0,2,2,2,0,373
24,Azure,trwalke,,0,0,0,0,0,0,0,0,0,373
25,Azure,SameerK-MSFT,,0,0,0,0,0,0,0,0,0,373
26,Azure,bgavrilMS,34.0,0,6,0,0,0,6,6,6,0,366
27,Azure,jennyf19,48.0,0,5,0,0,0,5,5,5,0,321
28,Azure,jmprieur,119.0,0,58,0,0,2,60,58,60,0,652
29,Azure,neha-bhargava,,0,0,0,0,0,0,0,0,0,652
30,Azure,aiwangmicrosoft,,0,0,0,0,0,0,0,0,0,652
31,Azure,yoelhor,42.0,0,4,0,0,3,7,4,7,0,198
32,Azure,szhaomsft,11.0,0,3,0,0,1,4,3,4,0,270
33,Azure,yinhew,,0,0,0,0,0,0,0,0,0,270
34,Azure,yulin-li,14.0,0,5,0,0,0,5,5,5,0,402
35,Azure,boltomli,79.0,0,15,0,0,0,15,15,15,0,451
36,Azure,diberry,49.0,0,4,0,0,3,7,4,7,0,632
37,Azure,berndverst,,0,0,0,0,0,0,0,0,0,632
38,Azure,henrik-me,,0,0,0,0,0,0,0,0,0,632
39,Azure,gladjohn,,0,0,0,0,0,0,0,0,0,632
40,Azure,maburlik,2.0,0,3,0,0,0,3,3,3,0,41
41,Azure,xpouyat,30.0,0,6,0,0,0,6,6,6,0,587
42,Azure,jihwang0709,,0,0,0,0,0,0,0,0,0,587
43,Azure,hrasheed-msft,9.0,0,4,0,0,0,4,4,4,0,281
44,Azure,v-mankan,,0,0,0,0,0,0,0,0,0,281
45,Azure,v-rakesc,,0,0,0,0,0,0,0,0,0,281
46,Azure,carlrab,,0,0,0,0,0,0,0,0,0,281
47,Azure,dbradish-microsoft,3.0,0,11,0,0,0,11,11,11,0,584
48,Azure,sdwheeler,125.0,0,1,0,0,0,1,1,1,0,0
49,Azure,drwill-ms,16.0,0,12,0,0,1,13,12,13,0,613
50,Azure,wesmc7777,,0,0,0,0,0,0,0,0,0,613
51,Azure,xseeseesee,4.0,0,6,0,0,0,6,6,6,0,42
52,Azure,rojasja,12.0,0,4,0,0,0,4,4,4,0,186
53,Azure,ktsakas,,0,0,0,0,0,0,0,0,0,186
54,Azure,mipetriu,,0,0,0,0,0,0,0,0,0,186
55,Azure,cephalin,47.0,0,3,0,0,1,4,3,4,0,443
56,Azure,sameerag,,0,0,0,0,0,0,0,0,0,443
57,Azure,mmacy,24.0,0,5,0,0,0,5,5,5,0,694
58,Azure,codemillmatt,,0,0,0,0,0,0,0,0,0,694
59,Azure,Shama-K,,0,0,0,0,0,0,0,0,0,694
60,Azure,pkanher617,,0,0,0,0,0,0,0,0,0,694
61,Azure,mikkelhegn,42.0,0,5,0,0,0,5,5,5,0,222
62,Azure,peterpogorski,17.0,0,5,0,0,0,5,5,5,0,261
63,Azure,zr-msft,5.0,0,1,0,0,2,3,1,3,0,13
64,Azure,smichelotti,175.0,0,1,0,0,0,1,1,1,0,0
65,Azure,ggailey777,34.0,0,2,0,0,0,2,2,2,0,0
66,Azure,kojiwms,0.0,0,3,0,0,0,3,3,3,0,275
67,Azure,philon-msft,8.0,0,1,0,0,0,1,1,1,0,0
68,Azure,brendanzagaeski,,0,0,0,0,0,0,0,0,0,0
69,Azure,ArcturusZhang,43.0,0,13,0,0,0,13,13,13,0,294
70,Azure,Alancere,3.0,0,0,0,0,1,1,0,1,0,294
71,Azure,jhendrixMSFT,37.0,0,1,0,0,0,1,1,1,0,0
72,Azure,mybayern1974,,0,0,0,0,0,0,0,0,0,0
73,Azure,yangyuan,118.0,0,3,0,0,0,3,3,3,0,118
74,Azure,yeskarthik,,0,0,0,0,0,0,0,0,0,118
75,Azure,Sandip-Raiyani,,0,0,0,0,0,0,0,0,0,118
76,Azure,dmdenmsft,,0,0,0,0,0,0,0,0,0,118
77,Azure,kanshiG,,0,0,0,0,0,0,0,0,0,118
78,Azure,aahill,187.0,0,5,0,0,1,6,5,6,0,377
79,Azure,v-jaswel,5.0,0,8,0,0,2,10,8,10,0,156
80,Azure,wiazur,8.0,0,10,0,0,1,11,10,11,0,65
81,Azure,weidongxu-microsoft,,0,0,0,0,0,0,0,0,0,65
82,Azure,PatrickFarley,35.0,0,11,0,0,0,11,11,11,0,472
83,Azure,shonohs,3.0,0,4,0,0,0,4,4,4,0,55
84,Azure,craftyhouse,,0,0,0,0,0,0,0,0,0,55
85,Azure,anantshankar17,1.0,0,4,0,0,0,4,4,4,0,161
86,Azure,Nickomang,5.0,0,2,0,0,0,2,2,2,0,29
87,Azure,georgewallace,14.0,0,2,0,0,0,2,2,2,0,157
88,Azure,laujan,11.0,0,2,0,0,0,2,2,2,0,128
89,Azure,erhopf,13.0,0,9,0,0,0,9,9,9,0,301
90,Azure,ramya-rao-a,,0,0,0,0,0,0,0,0,0,301
91,Azure,Duffney,,0,0,0,0,0,0,0,0,0,301
92,Azure,dlepow,20.0,0,3,0,0,0,3,3,3,0,73
93,Azure,LuisBosquez,82.0,0,2,0,0,0,2,2,2,0,4
94,Azure,FabianMeiswinkel,,0,0,0,0,0,0,0,0,0,4
95,Azure,alch-msft,,0,0,0,0,0,0,0,0,0,4
96,Azure,Juliako,,0,0,0,0,0,0,0,0,0,4
97,Azure,ericwol-msft,3.0,0,5,0,0,0,5,5,5,0,435
98,Azure,jebrando,12.0,0,3,0,0,0,3,3,3,0,75
99,Azure,elhorton,3.0,0,1,0,0,0,1,1,1,0,0
100,Azure,PatAltimore,,0,0,0,0,0,0,0,0,0,0
101,Azure,caleteeter,57.0,0,7,0,0,3,10,7,10,0,402
102,Azure,shrugupt,0.0,0,2,0,0,0,2,2,2,0,5
103,Azure,aishik-pyne,,0,0,0,0,0,0,0,0,0,5
104,Azure,ramyapradhan,0.0,0,1,0,0,0,1,1,1,0,0
105,Azure,theMobiusStrip,,0,0,0,0,0,0,0,0,0,0
106,Azure,azabbasi,,0,0,0,0,0,0,0,0,0,0
107,Azure,timtay-microsoft,12.0,0,2,0,0,0,2,2,2,0,97
108,Azure,jamdavi,,0,0,0,0,0,0,0,0,0,97
109,Azure,abhipsaMisra,,0,0,0,0,0,0,0,0,0,97
110,Azure,vinagesh,,0,0,0,0,0,0,0,0,0,97
111,Azure,bikamani,7.0,0,1,0,0,4,5,1,5,0,62
112,Azure,barustum,,0,0,0,0,0,0,0,0,0,62
113,Azure,robinsh,27.0,0,3,0,0,0,3,3,3,0,20
114,Azure,prmathur-microsoft,,0,0,0,0,0,0,0,0,0,20
115,Azure,davilu,,0,0,0,0,0,0,0,0,0,20
116,Azure,cartertinney,17.0,0,1,0,0,0,1,1,1,0,0
117,Azure,glharper,,0,0,0,0,0,0,0,0,0,0
118,Azure,dargilco,6.0,0,5,0,0,1,6,5,6,0,539
119,Azure,glecaros,,0,0,0,0,0,0,0,0,0,539
120,Azure,chschrae,1.0,0,1,0,0,0,1,1,1,0,0
121,Azure,BrianMouncer,3.0,0,4,0,0,0,4,4,4,0,539
122,Azure,HenryvanderVegte,9.0,0,2,0,0,0,2,2,2,0,16
123,Azure,PanosPeriorellis,,0,0,0,0,0,0,0,0,0,16
124,Azure,rhurey,4.0,0,7,0,0,0,7,7,7,0,382
125,Azure,shiwenmichael,,0,0,0,0,0,0,0,0,0,382
126,Azure,oscholz,3.0,0,1,0,0,0,1,1,1,0,0
127,Azure,bexxx,,0,0,0,0,0,0,0,0,0,0
128,Azure,chlandsi,7.0,0,1,0,0,0,1,1,1,0,0
129,Azure,amitkumarshukla,,0,0,0,0,0,0,0,0,0,0
130,Azure,zhouwangzw,,0,0,0,0,0,0,0,0,0,0
131,Azure,wolfma61,7.0,0,2,0,0,0,2,2,2,0,53
132,Azure,mahilleb-msft,35.0,0,1,0,0,0,1,1,1,0,0
133,Azure,ahamad-MS,0.0,0,2,0,0,0,2,2,2,0,34
134,Azure,DariuszPorowski,61.0,0,13,0,0,19,32,13,32,0,59
135,Azure,rguthriemsft,12.0,0,2,0,0,2,4,2,4,0,299
136,Azure,BSamodien,2.0,0,11,0,0,2,13,11,13,0,28
137,Azure,dmckinstry,19.0,0,0,0,0,1,1,0,1,0,28
138,Azure,dtzar,133.0,0,3,0,0,0,3,3,3,0,317
139,Azure,HuapingLiu,,0,0,0,0,0,0,0,0,0,317
140,Azure,jychoudh,,0,0,0,0,0,0,0,0,0,317
141,Azure,brminnick,727.0,0,3,0,0,0,3,3,3,0,0
142,Azure,rbrundritt,55.0,0,12,0,0,7,19,12,19,0,696
143,Azure,dasanagu,,0,0,0,0,0,0,0,0,0,696
144,Azure,ebertrams,22.0,0,8,0,0,5,13,8,13,0,624
145,Azure,nonik0,3.0,0,1,0,0,0,1,1,1,0,0
146,Azure,sahithikkss,0.0,0,1,0,0,0,1,1,1,0,0
147,Azure,msmbaldwin,32.0,0,1,0,0,0,1,1,1,0,0
148,Azure,markjbrown,53.0,0,1,0,0,0,1,1,1,0,0
149,Azure,baanders,12.0,0,14,0,0,0,14,14,14,0,285
150,Azure,KingdomOfEnds,,0,0,0,0,0,0,0,0,0,285
151,Azure,dbarkol,42.0,0,2,0,0,1,3,2,3,0,205
152,Azure,stevebus,11.0,0,1,0,0,0,1,1,1,0,0
153,Azure,grdinin,,0,0,0,0,0,0,0,0,0,0
154,Azure,MaximRouiller,,0,0,0,0,0,0,0,0,0,0
155,Azure,edburns,,0,0,0,0,0,0,0,0,0,0
156,Azure,selvasingh,97.0,0,26,0,0,0,26,26,26,0,686
157,Azure,northtyphoon,,0,0,0,0,0,0,0,0,0,686
158,Azure,yihezkel,,0,0,0,0,0,0,0,0,0,686
159,Azure,v-michaelmi,,0,0,0,0,0,0,0,0,0,686
160,Azure,algattik,42.0,0,2,0,0,0,2,2,2,0,64
161,Azure,abbhar,,0,0,0,0,0,0,0,0,0,64
162,Azure,viananth,,0,0,0,0,0,0,0,0,0,64
163,Azure,WilliamBerryiii,45.0,0,17,0,0,0,17,17,17,0,489
164,Azure,angellmethod,3.0,0,4,0,0,0,4,4,4,0,8
165,Azure,TheOnlyWei,1.0,0,4,0,0,1,5,4,5,0,52
166,Azure,mregen,25.0,0,1,0,0,4,5,1,5,0,0
