sample,tempo para fechamento,tempo merge,closed_count,open_count,merged_count,not_merged_count,framework,relative_open_count,relative_closed_count,relative_merged,relative_not_merged
googlesamples/android-AppUsageStatistics,0.0,,1.0,6.0,0.0,1.0,Android,85.71428571428571,14.285714285714285,0.0,100.0
googlesamples/android-custom-lint-rules,105.6,102.0,10.0,0.0,9.0,1.0,Android,0.0,100.0,90.0,10.0
googlesamples/android-dynamic-code-loading,,,0.0,2.0,0.0,0.0,Android,100.0,0.0,,
googlesamples/android-media-controller,31.9375,31.9375,16.0,4.0,16.0,0.0,Android,20.0,80.0,100.0,0.0
googlesamples/android-play-publisher-api,61.8,77.0,5.0,6.0,4.0,1.0,Android,54.54545454545454,45.45454545454545,80.0,20.0
googlesamples/android-play-safetynet,185.5,228.0,2.0,4.0,1.0,1.0,Android,66.66666666666666,33.33333333333333,50.0,50.0
googlesamples/android-testdpc,371.75,106.75,8.0,4.0,4.0,4.0,Android,33.33333333333333,66.66666666666666,50.0,50.0
googlesamples/android-testing-templates,10.0,11.0,3.0,4.0,2.0,1.0,Android,57.14285714285714,42.857142857142854,66.66666666666666,33.33333333333333
googlesamples/android-vision,37.76923076923077,15.9,13.0,16.0,10.0,3.0,Android,55.172413793103445,44.827586206896555,76.92307692307693,23.076923076923077
googlesamples/android-vulkan-tutorials,48.375,6.714285714285714,8.0,0.0,7.0,1.0,Android,0.0,100.0,87.5,12.5
googlesamples/androidtv-sample-inputs,,,0.0,5.0,0.0,0.0,Android,100.0,0.0,,
googlesamples/appauth-js-electron-sample,42.0,42.0,2.0,6.0,2.0,0.0,Android,75.0,25.0,100.0,0.0
googlesamples/arcore-depth-lab,56.0,56.0,1.0,0.0,1.0,0.0,Android,0.0,100.0,100.0,0.0
googlesamples/assistant-sdk-cpp,11.571428571428571,11.571428571428571,7.0,5.0,7.0,0.0,Android,41.66666666666667,58.333333333333336,100.0,0.0
googlesamples/assistant-sdk-nodejs,13.0,13.0,1.0,0.0,1.0,0.0,Android,0.0,100.0,100.0,0.0
googlesamples/assistant-sdk-python,2.5,2.6923076923076925,14.0,6.0,13.0,1.0,Android,30.0,70.0,92.85714285714286,7.142857142857142
googlesamples/cloud-polymer-go,0.0,0.0,2.0,0.0,1.0,1.0,Android,0.0,100.0,50.0,50.0
googlesamples/easypermissions,10.682926829268293,4.0,82.0,0.0,65.0,17.0,Android,0.0,100.0,79.26829268292683,20.73170731707317
googlesamples/functions-as-a-service,,,0.0,2.0,0.0,0.0,Android,100.0,0.0,,
googlesamples/glass-enterprise-samples,5.0,5.0,2.0,1.0,2.0,0.0,Android,33.33333333333333,66.66666666666666,100.0,0.0
googlesamples/google-photos,22.8,18.0,5.0,0.0,1.0,4.0,Android,0.0,100.0,20.0,80.0
googlesamples/google-services,4.476190476190476,3.0754716981132075,63.0,5.0,53.0,10.0,Android,7.352941176470589,92.64705882352942,84.12698412698413,15.873015873015872
googlesamples/google-signin-unity,6.5,6.5,2.0,11.0,2.0,0.0,Android,84.61538461538461,15.384615384615385,100.0,0.0
googlesamples/identity-appflip-android,1.5,1.5,2.0,1.0,2.0,0.0,Android,33.33333333333333,66.66666666666666,100.0,0.0
googlesamples/identity-appflip-ios,2.3333333333333335,2.3333333333333335,3.0,0.0,3.0,0.0,Android,0.0,100.0,100.0,0.0
googlesamples/identity-appflip-tester-android,1.0,1.0,2.0,1.0,2.0,0.0,Android,33.33333333333333,66.66666666666666,100.0,0.0
googlesamples/identity-appflip-tester-ios,1.0,1.0,2.0,0.0,2.0,0.0,Android,0.0,100.0,100.0,0.0
googlesamples/identity-toolkit-go,22.0,22.0,5.0,2.0,5.0,0.0,Android,28.57142857142857,71.42857142857143,100.0,0.0
googlesamples/identity-toolkit-java,0.0,0.0,1.0,1.0,1.0,0.0,Android,50.0,50.0,100.0,0.0
googlesamples/identity-toolkit-node,1.0,1.0,2.0,0.0,2.0,0.0,Android,0.0,100.0,100.0,0.0
googlesamples/identity-toolkit-php,,,0.0,1.0,0.0,0.0,Android,100.0,0.0,,
googlesamples/io2014-codelabs,3.0,3.0,2.0,3.0,2.0,0.0,Android,60.0,40.0,100.0,0.0
googlesamples/io2015-codelabs,1.0,1.0,1.0,4.0,1.0,0.0,Android,80.0,20.0,100.0,0.0
googlesamples/ios-nearby,7.5,7.5,6.0,0.0,6.0,0.0,Android,0.0,100.0,100.0,0.0
googlesamples/ios-vision,,,0.0,3.0,0.0,0.0,Android,100.0,0.0,,
googlesamples/maps-deckgl-scatterplot-example,,,0.0,1.0,0.0,0.0,Android,100.0,0.0,,
googlesamples/mlkit,9.485714285714286,8.45,35.0,0.0,20.0,15.0,Android,0.0,100.0,57.14285714285714,42.857142857142854
googlesamples/mugo,0.0,0.0,1.0,2.0,1.0,0.0,Android,66.66666666666666,33.33333333333333,100.0,0.0
googlesamples/oauth-apps-for-windows,412.5,412.5,2.0,6.0,2.0,0.0,Android,75.0,25.0,100.0,0.0
googlesamples/task-interop,1.0,1.0,1.0,0.0,1.0,0.0,Android,0.0,100.0,100.0,0.0
googlesamples/testloopmanager,,,0.0,1.0,0.0,0.0,Android,100.0,0.0,,
googlesamples/unity-jar-resolver,37.13953488372093,19.02777777777778,43.0,7.0,36.0,7.0,Android,14.000000000000002,86.0,83.72093023255815,16.27906976744186
googlesamples/vulkan-basic-samples,0.0,0.0,2.0,0.0,2.0,0.0,Android,0.0,100.0,100.0,0.0
googlesamples/web-fundamentals,0.0,0.0,3.0,3.0,3.0,0.0,Android,50.0,50.0,100.0,0.0
