sample,tempo para fechamento,tempo merge,closed_count,open_count,merged_count,not_merged_count,framework,relative_open_count,relative_closed_count,relative_merged,relative_not_merged
googlesamples/android-AppUsageStatistics,,,0.0,2.0,0.0,0.0,Android,100.0,0.0,,
googlesamples/android-custom-lint-rules,27.6,27.6,5.0,0.0,5.0,0.0,Android,0.0,100.0,100.0,0.0
googlesamples/android-dynamic-code-loading,,,0.0,1.0,0.0,0.0,Android,100.0,0.0,,
googlesamples/android-media-controller,22.625,22.625,8.0,1.0,8.0,0.0,Android,11.11111111111111,88.88888888888889,100.0,0.0
googlesamples/android-play-publisher-api,,,0.0,4.0,0.0,0.0,Android,100.0,0.0,,
googlesamples/android-play-safetynet,,,0.0,2.0,0.0,0.0,Android,100.0,0.0,,
googlesamples/android-testdpc,74.5,67.0,2.0,3.0,1.0,1.0,Android,60.0,40.0,50.0,50.0
googlesamples/androidtv-sample-inputs,,,0.0,1.0,0.0,0.0,Android,100.0,0.0,,
googlesamples/appauth-js-electron-sample,,,0.0,3.0,0.0,0.0,Android,100.0,0.0,,
googlesamples/arcore-depth-lab,56.0,56.0,1.0,0.0,1.0,0.0,Android,0.0,100.0,100.0,0.0
googlesamples/assistant-sdk-cpp,,,0.0,3.0,0.0,0.0,Android,100.0,0.0,,
googlesamples/assistant-sdk-python,,,0.0,3.0,0.0,0.0,Android,100.0,0.0,,
googlesamples/easypermissions,0.2,0.25,5.0,0.0,4.0,1.0,Android,0.0,100.0,80.0,20.0
googlesamples/functions-as-a-service,,,0.0,2.0,0.0,0.0,Android,100.0,0.0,,
googlesamples/glass-enterprise-samples,5.0,5.0,2.0,1.0,2.0,0.0,Android,33.33333333333333,66.66666666666666,100.0,0.0
googlesamples/google-photos,32.0,,3.0,0.0,0.0,3.0,Android,0.0,100.0,0.0,100.0
googlesamples/google-services,5.6,5.6,5.0,4.0,5.0,0.0,Android,44.44444444444444,55.55555555555556,100.0,0.0
googlesamples/google-signin-unity,,,0.0,4.0,0.0,0.0,Android,100.0,0.0,,
googlesamples/identity-appflip-android,1.5,1.5,2.0,1.0,2.0,0.0,Android,33.33333333333333,66.66666666666666,100.0,0.0
googlesamples/identity-appflip-ios,2.3333333333333335,2.3333333333333335,3.0,0.0,3.0,0.0,Android,0.0,100.0,100.0,0.0
googlesamples/identity-appflip-tester-android,1.0,1.0,2.0,1.0,2.0,0.0,Android,33.33333333333333,66.66666666666666,100.0,0.0
googlesamples/identity-appflip-tester-ios,1.0,1.0,2.0,0.0,2.0,0.0,Android,0.0,100.0,100.0,0.0
googlesamples/io2015-codelabs,,,0.0,1.0,0.0,0.0,Android,100.0,0.0,,
googlesamples/mlkit,9.485714285714286,8.45,35.0,0.0,20.0,15.0,Android,0.0,100.0,57.14285714285714,42.857142857142854
googlesamples/oauth-apps-for-windows,79.0,79.0,1.0,5.0,1.0,0.0,Android,83.33333333333334,16.666666666666664,100.0,0.0
googlesamples/task-interop,1.0,1.0,1.0,0.0,1.0,0.0,Android,0.0,100.0,100.0,0.0
googlesamples/unity-jar-resolver,35.90909090909091,14.625,11.0,5.0,8.0,3.0,Android,31.25,68.75,72.72727272727273,27.27272727272727
