,framework,login,seguidores,numero_prs_criados,numero_merges,numero_prs_criado_mergeado,numero_prs_criado_n_mergeado,numero_prs_n_mergeado_fechado,numero_prs_fechado,numero_merges_exclude_auto_merge,numero_revisoes_exclude_auto_revisado,auto_revisado,tempo experiencia(dias)
0,Android,caller9,3.0,0,6,0,0,0,6,6,6,0,143
1,Android,jscott1989,24.0,0,1,0,0,1,2,1,2,0,2
2,Android,tnorbye,831.0,0,5,0,0,0,5,5,5,0,606
3,Android,samtstern,1855.0,0,4,0,0,1,5,4,5,0,292
4,Android,chkuang-g,11.0,0,6,0,0,1,7,6,7,0,372
5,Android,vimanyu,4.0,0,0,0,0,1,1,0,1,0,372
6,Android,stewartmiles,58.0,0,2,0,0,1,3,2,3,0,54
7,Android,gguuss,,0,0,0,0,0,0,0,0,0,54
8,Android,ggfan,,0,0,0,0,0,0,0,0,0,54
9,Android,WilliamDenniss,113.0,0,1,0,0,0,1,1,1,0,0
10,Android,romanofranz,10.0,0,4,0,0,0,4,4,4,0,100
11,Android,nic0lette,306.0,0,3,0,0,0,3,3,3,0,237
12,Android,Leo-Neat,,0,0,0,0,0,0,0,0,0,237
13,Android,SigmanZero,2.0,0,1,0,0,0,1,1,1,0,0
14,Android,brdaugherty,4.0,0,9,0,0,0,9,9,9,0,158
15,Android,idzkowski-google,,0,0,0,0,0,0,0,0,0,158
16,Android,jbolinger,20.0,0,2,0,0,0,2,2,2,0,177
17,Android,kpierzchalski,,0,0,0,0,0,0,0,0,0,177
18,Android,cs-googler,0.0,0,1,0,0,3,4,1,4,0,122
19,Android,zhouyiself,12.0,0,7,0,0,7,14,7,14,0,419
20,Android,swiyu,1.0,0,2,0,0,1,3,2,3,0,7
21,Android,calren,216.0,0,9,0,0,0,9,9,9,0,48
22,Android,sheepmaster,6.0,0,1,0,0,0,1,1,1,0,0
23,Android,ruofeidu,166.0,0,1,0,0,0,1,1,1,0,0
