sample,tempo para fechamento,tempo merge,closed_count,merged_count,not_merged_count,framework
spring-guides/getting-started-guides,123.57894736842105,,19.0,0.0,19.0,Spring
spring-guides/getting-started-macros,162.0,,1.0,0.0,1.0,Spring
spring-guides/gs-accessing-data-jpa,172.22222222222223,,9.0,0.0,9.0,Spring
spring-guides/gs-accessing-data-mongodb,180.0,,2.0,0.0,2.0,Spring
spring-guides/gs-accessing-data-mysql,200.5,,2.0,0.0,2.0,Spring
spring-guides/gs-accessing-data-neo4j,10.0,,2.0,0.0,2.0,Spring
spring-guides/gs-accessing-data-r2dbc,68.0,,1.0,0.0,1.0,Spring
spring-guides/gs-accessing-data-rest,234.5,,4.0,0.0,4.0,Spring
spring-guides/gs-accessing-mongodb-data-rest,102.33333333333333,,3.0,0.0,3.0,Spring
spring-guides/gs-accessing-neo4j-data-rest,207.33333333333334,,3.0,0.0,3.0,Spring
spring-guides/gs-actuator-service,154.0,,1.0,0.0,1.0,Spring
spring-guides/gs-async-method,307.0,,1.0,0.0,1.0,Spring
spring-guides/gs-authenticating-ldap,271.25,,4.0,0.0,4.0,Spring
spring-guides/gs-batch-processing,339.0,,4.0,0.0,4.0,Spring
spring-guides/gs-caching,306.0,,1.0,0.0,1.0,Spring
spring-guides/gs-caching-gemfire,86.0,,2.0,0.0,2.0,Spring
spring-guides/gs-centralized-configuration,229.5,,6.0,0.0,6.0,Spring
spring-guides/gs-consuming-rest,0.0,,2.0,0.0,2.0,Spring
spring-guides/gs-consuming-rest-angularjs,310.0,,1.0,0.0,1.0,Spring
spring-guides/gs-consuming-web-service,151.5,,2.0,0.0,2.0,Spring
spring-guides/gs-contract-rest,0.0,,1.0,0.0,1.0,Spring
spring-guides/gs-convert-jar-to-war,0.0,,1.0,0.0,1.0,Spring
spring-guides/gs-crud-with-vaadin,64.0,,7.0,0.0,7.0,Spring
spring-guides/gs-gateway,505.5,,2.0,0.0,2.0,Spring
spring-guides/gs-gradle,13.0,,10.0,0.0,10.0,Spring
spring-guides/gs-handling-form-submission,228.33333333333334,,3.0,0.0,3.0,Spring
spring-guides/gs-integration,0.0,,1.0,0.0,1.0,Spring
spring-guides/gs-intellij-idea,1.0,,1.0,0.0,1.0,Spring
spring-guides/gs-managing-transactions,338.3333333333333,,3.0,0.0,3.0,Spring
spring-guides/gs-maven,34.916666666666664,,12.0,0.0,12.0,Spring
spring-guides/gs-messaging-gcp-pubsub,1.0,,2.0,0.0,2.0,Spring
spring-guides/gs-messaging-rabbitmq,0.0,,1.0,0.0,1.0,Spring
spring-guides/gs-messaging-redis,40.0,,2.0,0.0,2.0,Spring
spring-guides/gs-messaging-stomp-websocket,11.666666666666666,,6.0,0.0,6.0,Spring
spring-guides/gs-multi-module,0.0,,3.0,0.0,3.0,Spring
spring-guides/gs-producing-web-service,526.4285714285714,,7.0,0.0,7.0,Spring
spring-guides/gs-reactive-rest-service,171.0,,2.0,0.0,2.0,Spring
spring-guides/gs-relational-data-access,79.0,,2.0,0.0,2.0,Spring
spring-guides/gs-rest-hateoas,106.75,,4.0,0.0,4.0,Spring
spring-guides/gs-rest-service,92.4090909090909,,22.0,0.0,22.0,Spring
spring-guides/gs-routing-and-filtering,2.0,,1.0,0.0,1.0,Spring
spring-guides/gs-securing-web,124.4,,5.0,0.0,5.0,Spring
spring-guides/gs-service-registration-and-discovery,298.0,,2.0,0.0,2.0,Spring
spring-guides/gs-serving-web-content,376.25,,4.0,0.0,4.0,Spring
spring-guides/gs-spring-boot,89.43478260869566,,23.0,0.0,23.0,Spring
spring-guides/gs-spring-boot-docker,263.5,,16.0,0.0,16.0,Spring
spring-guides/gs-sts,7.0,,1.0,0.0,1.0,Spring
spring-guides/gs-sts-cloud-foundry-deployment,266.0,,1.0,0.0,1.0,Spring
spring-guides/gs-uploading-files,482.5,,8.0,0.0,8.0,Spring
spring-guides/gs-validating-form-input,195.375,,8.0,0.0,8.0,Spring
spring-guides/top-spring-boot-docker,74.66666666666667,,3.0,0.0,3.0,Spring
spring-guides/top-spring-security-architecture,0.0,,1.0,0.0,1.0,Spring
spring-guides/tut-react-and-spring-data-rest,152.25,,16.0,0.0,16.0,Spring
spring-guides/tut-rest,110.0,,11.0,0.0,11.0,Spring
spring-guides/tut-spring-boot-kotlin,20.5,,4.0,0.0,4.0,Spring
spring-guides/tut-spring-boot-oauth2,16.166666666666668,,6.0,0.0,6.0,Spring
spring-guides/tut-spring-security-and-angular-js,48.61904761904762,,21.0,0.0,21.0,Spring
spring-guides/understanding,56.5,,2.0,0.0,2.0,Spring
