sample,tempo para fechamento,tempo merge,closed_count,open_count,merged_count,not_merged_count,framework,relative_open_count,relative_closed_count,relative_merged,relative_not_merged
spring-guides/drone-aggregator,,,0.0,4.0,0.0,0.0,Spring,100.0,0.0,,
spring-guides/getting-started-guides,126.52380952380952,154.5,21.0,2.0,2.0,19.0,Spring,8.695652173913043,91.30434782608695,9.523809523809524,90.47619047619048
spring-guides/getting-started-macros,20.25,0.0,8.0,2.0,7.0,1.0,Spring,20.0,80.0,87.5,12.5
spring-guides/gs-accessing-data-gemfire,0.0,0.0,4.0,2.0,4.0,0.0,Spring,33.33333333333333,66.66666666666666,100.0,0.0
spring-guides/gs-accessing-data-jpa,91.6,46.25,25.0,0.0,16.0,9.0,Spring,0.0,100.0,64.0,36.0
spring-guides/gs-accessing-data-mongodb,41.888888888888886,2.4285714285714284,9.0,1.0,7.0,2.0,Spring,10.0,90.0,77.77777777777779,22.22222222222222
spring-guides/gs-accessing-data-mysql,28.866666666666667,2.4615384615384617,15.0,1.0,13.0,2.0,Spring,6.25,93.75,86.66666666666667,13.333333333333334
spring-guides/gs-accessing-data-neo4j,18.470588235294116,19.6,17.0,0.0,15.0,2.0,Spring,0.0,100.0,88.23529411764706,11.76470588235294
spring-guides/gs-accessing-data-r2dbc,68.0,,1.0,1.0,0.0,1.0,Spring,50.0,50.0,0.0,100.0
spring-guides/gs-accessing-data-rest,79.16666666666667,1.5,12.0,0.0,8.0,4.0,Spring,0.0,100.0,66.66666666666666,33.33333333333333
spring-guides/gs-accessing-gemfire-data-rest,1.5,1.5,2.0,2.0,2.0,0.0,Spring,50.0,50.0,100.0,0.0
spring-guides/gs-accessing-mongodb-data-rest,28.272727272727273,0.5,11.0,0.0,8.0,3.0,Spring,0.0,100.0,72.72727272727273,27.27272727272727
spring-guides/gs-accessing-neo4j-data-rest,69.0,17.125,11.0,1.0,8.0,3.0,Spring,8.333333333333332,91.66666666666666,72.72727272727273,27.27272727272727
spring-guides/gs-accessing-vault,1.0,1.0,3.0,2.0,3.0,0.0,Spring,40.0,60.0,100.0,0.0
spring-guides/gs-actuator-service,12.142857142857142,1.2307692307692308,14.0,0.0,13.0,1.0,Spring,0.0,100.0,92.85714285714286,7.142857142857142
spring-guides/gs-async-method,70.45454545454545,46.8,11.0,0.0,10.0,1.0,Spring,0.0,100.0,90.9090909090909,9.090909090909092
spring-guides/gs-authenticating-ldap,69.58823529411765,7.538461538461538,17.0,0.0,13.0,4.0,Spring,0.0,100.0,76.47058823529412,23.52941176470588
