sample,tempo para fechamento,tempo merge,closed_count,open_count,merged_count,not_merged_count,framework,relative_open_count,relative_closed_count,relative_merged,relative_not_merged
spring-guides/getting-started-guides,19.5,,4.0,1.0,0.0,4.0,Spring,20.0,80.0,0.0,100.0
spring-guides/getting-started-macros,0.0,0.0,1.0,1.0,1.0,0.0,Spring,50.0,50.0,100.0,0.0
spring-guides/gs-accessing-data-jpa,0.0,0.0,1.0,0.0,1.0,0.0,Spring,0.0,100.0,100.0,0.0
spring-guides/gs-accessing-data-mongodb,1.0,1.0,1.0,1.0,1.0,0.0,Spring,50.0,50.0,100.0,0.0
spring-guides/gs-accessing-data-mysql,0.14285714285714285,0.14285714285714285,7.0,1.0,7.0,0.0,Spring,12.5,87.5,100.0,0.0
spring-guides/gs-accessing-data-neo4j,88.5,88.5,2.0,0.0,2.0,0.0,Spring,0.0,100.0,100.0,0.0
spring-guides/gs-accessing-data-r2dbc,68.0,,1.0,1.0,0.0,1.0,Spring,50.0,50.0,0.0,100.0
spring-guides/gs-accessing-data-rest,14.666666666666666,0.0,3.0,0.0,2.0,1.0,Spring,0.0,100.0,66.66666666666666,33.33333333333333
spring-guides/gs-accessing-mongodb-data-rest,0.5,0.5,2.0,0.0,2.0,0.0,Spring,0.0,100.0,100.0,0.0
spring-guides/gs-accessing-neo4j-data-rest,0.0,0.0,1.0,1.0,1.0,0.0,Spring,50.0,50.0,100.0,0.0
spring-guides/gs-async-method,0.0,0.0,1.0,0.0,1.0,0.0,Spring,0.0,100.0,100.0,0.0
spring-guides/gs-authenticating-ldap,1.0,1.0,2.0,0.0,2.0,0.0,Spring,0.0,100.0,100.0,0.0
spring-guides/gs-batch-processing,14.5,14.5,4.0,0.0,4.0,0.0,Spring,0.0,100.0,100.0,0.0
spring-guides/gs-caching,1.0,1.0,1.0,1.0,1.0,0.0,Spring,50.0,50.0,100.0,0.0
spring-guides/gs-centralized-configuration,52.333333333333336,,3.0,0.0,0.0,3.0,Spring,0.0,100.0,0.0,100.0
spring-guides/gs-cloud-circuit-breaker,5.0,5.0,1.0,0.0,1.0,0.0,Spring,0.0,100.0,100.0,0.0
spring-guides/gs-consuming-rest,3.5,3.5,2.0,1.0,2.0,0.0,Spring,33.33333333333333,66.66666666666666,100.0,0.0
spring-guides/gs-consuming-rest-angularjs,,,0.0,1.0,0.0,0.0,Spring,100.0,0.0,,
spring-guides/gs-consuming-web-service,0.0,0.0,1.0,0.0,1.0,0.0,Spring,0.0,100.0,100.0,0.0
spring-guides/gs-contract-rest,0.0,0.0,1.0,0.0,1.0,0.0,Spring,0.0,100.0,100.0,0.0
spring-guides/gs-crud-with-vaadin,4.435897435897436,3.3157894736842106,39.0,1.0,38.0,1.0,Spring,2.5,97.5,97.43589743589743,2.564102564102564
spring-guides/gs-gateway,58.0,0.0,2.0,1.0,1.0,1.0,Spring,33.33333333333333,66.66666666666666,50.0,50.0
