,framework,login,seguidores,numero_prs_criados,numero_merges,numero_prs_criado_mergeado,numero_prs_criado_n_mergeado,numero_prs_n_mergeado_fechado,numero_prs_fechado,numero_merges_exclude_auto_merge,numero_revisoes_exclude_auto_revisado,auto_revisado,tempo experiencia(dias)
0,Spring,Buzzardo,29.0,0,100,0,0,60,160,100,160,0,627
1,Spring,dsyer,3425.0,0,140,0,0,92,232,140,232,0,2444
2,Spring,martinlippert,217.0,0,5,0,0,0,5,5,5,0,0
3,Spring,gregturn,742.0,0,328,0,0,105,433,328,433,0,2937
4,Spring,bclozel,1161.0,0,36,0,0,9,45,36,45,0,942
5,Spring,royclarkson,484.0,0,22,0,0,0,22,22,22,0,573
6,Spring,cbeams,692.0,0,5,0,0,3,8,5,8,0,14
7,Spring,snicoll,1675.0,0,2,0,0,3,5,2,5,0,943
8,Spring,habuma,1154.0,0,2,0,0,0,2,2,2,0,14
9,Spring,jzheaux,340.0,0,3,0,0,0,3,3,3,0,585
10,Spring,artembilan,562.0,0,7,0,0,0,7,7,7,0,2132
11,Spring,marcingrzejszczak,610.0,0,2,0,0,0,2,2,2,0,7
12,Spring,benas,462.0,0,2,0,0,1,3,2,3,0,476
13,Spring,jxblum,211.0,0,0,0,0,2,2,0,2,0,476
14,Spring,garyrussell,,0,0,0,0,0,0,0,0,0,476
15,Spring,mp911de,851.0,0,7,0,0,2,9,7,9,0,1450
16,Spring,unscriptable,,0,0,0,0,0,0,0,0,0,1450
17,Spring,briancavalier,,0,0,0,0,0,0,0,0,0,1450
18,Spring,jvalkeal,128.0,0,2,0,0,0,2,2,2,0,1
19,Spring,ryanjbaxter,708.0,0,8,0,0,2,10,8,10,0,1785
20,Spring,mstahv,562.0,0,12,0,0,4,16,12,16,0,910
21,Spring,fhanik,78.0,0,5,0,0,1,6,5,6,0,0
22,Spring,joshlong,,0,0,0,0,0,0,0,0,0,0
23,Spring,sdeleuze,893.0,0,13,0,0,3,16,13,16,0,1049
24,Spring,OlgaMaciaszek,,0,0,0,0,0,0,0,0,0,1049
25,Spring,dturanski,208.0,0,3,0,0,0,3,3,3,0,0
26,Spring,OlegDokuka,581.0,0,1,0,0,1,2,1,2,0,10
