,repository,fileContribuiting
0,Azure-Samples/active-directory-node-webapi,
1,Azure-Samples/active-directory-php-graphapi-directoryextensions-web,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/active-directory-php-graphapi-directoryextensions-web/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/active-directory-php-graphapi-directoryextensions-web/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
2,Azure-Samples/active-directory-dotnet-graphapi-directoryextensions-web,
3,Azure-Samples/active-directory-ios,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/active-directory-ios/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/active-directory-ios/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
4,Azure-Samples/active-directory-android,
5,Azure-Samples/active-directory-dotnet-graphapi-web,
6,Azure-Samples/active-directory-dotnet-webapp-openidconnect,
7,Azure-Samples/active-directory-dotnet-webapp-multitenant-openidconnect,
8,Azure-Samples/active-directory-dotnet-webapp-webapi-openidconnect,
9,Azure-Samples/active-directory-xamarin-ios,
10,Azure-Samples/active-directory-dotnet-windows-store,
11,Azure-Samples/active-directory-dotnet-native-desktop,
12,Azure-Samples/active-directory-dotnet-daemon,
13,Azure-Samples/active-directory-dotnet-daemon-certificate-credential,
14,Azure-Samples/active-directory-dotnet-webapp-webapi-oauth2-appidentity,
15,Azure-Samples/active-directory-dotnet-webapp-webapi-multitenant-openidconnect,
16,Azure-Samples/active-directory-dotnet-webapi-onbehalfof,
17,Azure-Samples/active-directory-dotnet-webapp-webapi-oauth2-useridentity,
18,Azure-Samples/active-directory-java-graphapi-web,
19,Azure-Samples/active-directory-php-graphapi-web,
20,Azure-Samples/active-directory-dotnet-graphapi-diffquery,
21,Azure-Samples/active-directory-dotnet-webapi-multitenant-windows-store,
22,Azure-Samples/active-directory-xamarin-android,
23,Azure-Samples/active-directory-dotnet-webapi-manual-jwt-validation,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/active-directory-dotnet-webapi-manual-jwt-validation/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/active-directory-dotnet-webapi-manual-jwt-validation/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
24,Azure-Samples/Azure-Information-Protection-Samples,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/active-directory-dotnet-rms/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/active-directory-dotnet-rms/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
25,Azure-Samples/active-directory-dotnet-webapp-wsfederation,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/active-directory-dotnet-webapp-wsfederation/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/active-directory-dotnet-webapp-wsfederation/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
