index,repository,fileContribuiting
0,spring-guides/gs-rest-service,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
1,spring-guides/gs-scheduling-tasks,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
2,spring-guides/gs-consuming-rest,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
3,spring-guides/gs-gradle,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
4,spring-guides/gs-maven,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
5,spring-guides/gs-relational-data-access,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
6,spring-guides/gs-uploading-files,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
7,spring-guides/gs-authenticating-ldap,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
8,spring-guides/gs-messaging-redis,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
9,spring-guides/gs-messaging-rabbitmq,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
10,spring-guides/gs-accessing-data-neo4j,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
11,spring-guides/gs-validating-form-input,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
12,spring-guides/gs-actuator-service,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
13,spring-guides/gs-messaging-jms,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
14,spring-guides/gs-batch-processing,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
15,spring-guides/gs-securing-web,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
16,spring-guides/gs-rest-hateoas,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
17,spring-guides/gs-accessing-data-gemfire,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
18,spring-guides/gs-integration,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
19,spring-guides/gs-caching-gemfire,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
20,spring-guides/gs-managing-transactions,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
21,spring-guides/gs-accessing-data-jpa,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
22,spring-guides/gs-accessing-data-mongodb,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
23,spring-guides/gs-serving-web-content,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
24,spring-guides/gs-convert-jar-to-war,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
25,spring-guides/gs-async-method,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
26,spring-guides/gs-handling-form-submission,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
28,spring-guides/gs-spring-boot,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
29,spring-guides/gs-messaging-stomp-websocket,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
30,spring-guides/gs-sts,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
31,spring-guides/gs-consuming-rest-angularjs,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
32,spring-guides/getting-started-guides,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
33,spring-guides/gs-consuming-rest-jquery,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
35,spring-guides/gs-rest-service-cors,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
36,spring-guides/gs-consuming-web-service,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
